u_x_normalized,v_y_normalized
0.290058,0.355426
0.290351,0.355560
0.290643,0.355708
0.290936,0.355856
0.291228,0.355990
0.291520,0.356131
0.291813,0.356279
0.292105,0.356427
0.292398,0.356561
0.292690,0.356696
0.292982,0.356843
0.293275,0.356978
0.293567,0.357112
0.293860,0.357247
0.294152,0.357394
0.294444,0.357535
0.294737,0.357670
0.295029,0.357811
0.295322,0.357959
0.295614,0.358093
0.295906,0.358228
0.296199,0.358369
0.296491,0.358516
0.296784,0.358651
0.297076,0.358785
0.297368,0.358920
0.297661,0.359061
0.297953,0.359195
0.298246,0.359329
0.298538,0.359464
0.298830,0.359612
0.299123,0.359746
0.299415,0.359880
0.299708,0.360015
0.300000,0.360156
0.300292,0.360290
0.300585,0.360425
0.300877,0.360559
0.301170,0.360680
0.301462,0.360814
0.301754,0.360949
0.302047,0.361083
0.302339,0.361224
0.302632,0.361359
0.302924,0.361493
0.303216,0.361627
0.303509,0.361755
0.303801,0.361889
0.304094,0.362024
0.304386,0.362158
0.304678,0.362293
0.304971,0.362427
0.305263,0.362561
0.305556,0.362696
0.305848,0.362830
0.306140,0.362958
0.306433,0.363092
0.306725,0.363227
0.307018,0.363354
0.307310,0.363489
0.307602,0.363623
0.307895,0.363757
0.308187,0.363885
0.308480,0.364006
0.308772,0.364140
0.309064,0.364275
0.309357,0.364409
0.309649,0.364537
0.309942,0.364664
0.310234,0.364799
0.310526,0.364940
0.310819,0.365068
0.311111,0.365202
0.311404,0.365336
0.311696,0.365471
0.311988,0.365592
0.312281,0.365713
0.312573,0.365847
0.312865,0.365981
0.313158,0.366116
0.313450,0.366237
0.313743,0.366371
0.314035,0.366505
0.314327,0.366633
0.314620,0.366754
0.314912,0.366882
0.315205,0.367016
0.315497,0.367150
0.315789,0.367271
0.316082,0.367392
0.316374,0.367527
0.316667,0.367661
0.316959,0.367782
0.317251,0.367903
0.317544,0.368031
0.317836,0.368165
0.318129,0.368293
0.318421,0.368414
0.318713,0.368535
0.319006,0.368662
0.319298,0.368776
0.319591,0.368897
0.319883,0.369018
0.320175,0.369146
0.320468,0.369280
0.320760,0.369401
0.321053,0.369522
0.321345,0.369650
0.321637,0.369784
0.321930,0.369912
0.322222,0.370033
0.322515,0.370147
0.322807,0.370268
0.323099,0.370389
0.323392,0.370510
0.323684,0.370631
0.323977,0.370752
0.324269,0.370886
0.324561,0.371007
0.324854,0.371128
0.325146,0.371249
0.325439,0.371370
0.325731,0.371491
0.326023,0.371612
0.326316,0.371733
0.326608,0.371854
0.326901,0.371975
0.327193,0.372096
0.327485,0.372217
0.327778,0.372344
